"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"2121",172861,1743,NA,NA,NA,NA,NA,NA,"KOG2533","Permease of the major facilitator superfamily","Carbohydrate transport and metabolism",NA,NA,2708,"RDEBS17455","RDEBS17455","Transporter, MFS superfamily","jgi.p|Debsub1|172861"
"2122",172870,1744,"3.1.3.16","Serine/threonine specific protein phosphatase.","\N","9985, 3087, 3089, 3090, 4132, 6080, 6240, 10186, 10187, 10190","hydrolase activity, phosphoprotein phosphatase activity, calcium-dependent protein serine/threonine phosphatase activity, magnesium-dependent protein serine/threonine phosphatase activity, magnesium-dependent protein serine/threonine phosphatase complex, CTD phosphatase activity, calcium-dependent protein serine/threonine phosphatase regulator activity, myosin phosphatase activity, myosin phosphatase regulator activity, myosin phosphatase complex","GO:0016787, GO:0004721, GO:0004723, GO:0004724, GO:0005963, GO:0008420, GO:0008597, GO:0017018, GO:0017020, GO:0017023","KOG0374","Serine/threonine specific protein phosphatase PP1, catalytic subunit","General function prediction only , Signal transduction mechanisms",NA,NA,4396,"RDEBS08029","RDEBS08029","Serine/threonine protein phosphatase PP1 (EC 3.1.3.16)","jgi.p|Debsub1|172870"
"2123",172875,1745,NA,NA,NA,"2176, 3838, 4499, 5939","DNA binding, nucleus, transcription, zinc ion binding","GO:0003677, GO:0005634, GO:0006350, GO:0008270",NA,NA,NA,NA,NA,5441,"RDEBS02580","RDEBS02580","GAL4 Transcription Factor","jgi.p|Debsub1|172875"
"2124",172907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3776,"RDEBS12019","RDEBS12019",NA,"jgi.p|Debsub1|172907"
"2125",172916,1746,"1.14.13.8","Dimethylaniline monooxygenase (N-oxide forming).","\N","2890","flavin-containing monooxygenase activity","GO:0004499","KOG1399","Flavin-containing monooxygenase","Secondary metabolites biosynthesis, transport and catabolism",NA,NA,3201,"RDEBS14919","RDEBS14919","Flavin-dependent monooxygenase (thiol-specific) FMO1 (EC 1.14.13.-)","jgi.p|Debsub1|172916"
"2126",172972,1747,NA,NA,NA,"7744","FMN binding","GO:0010181",NA,NA,NA,NA,NA,2649,"RDEBS17806","RDEBS17806","Hypothetical protein","jgi.p|Debsub1|172972"
"2127",173044,1748,"1.1.1.42","Isocitrate dehydrogenase (NADP+).","Citrate cycle (TCA cycle)","2844, 2842","isocitrate dehydrogenase (NADP+) activity, isocitrate dehydrogenase activity","GO:0004450, GO:0004448","KOG1526","NADP-dependent isocitrate dehydrogenase","Energy production and conversion",NA,NA,393,"RDEBS30641","RDEBS30641","Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)","jgi.p|Debsub1|173044"
"2128",173066,1749,NA,NA,NA,"2175","nucleic acid binding","GO:0003676","KOG0226","RNA-binding proteins","General function prediction only",NA,NA,3432,"RDEBS13528","RDEBS13528","Transcriptional regulator","jgi.p|Debsub1|173066"
"2129",173069,1750,NA,NA,NA,"5830, 5846","metabolic process, methyltransferase activity","GO:0008152, GO:0008168","KOG1331","Predicted methyltransferase","General function prediction only",NA,NA,3779,"RDEBS12003","RDEBS12003",NA,"jgi.p|Debsub1|173069"
"2130",173079,1751,"3.1.1.3","Triacylglycerol lipase.","Glycerolipid metabolism","3166, 4758","triacylglycerol lipase activity, lipid metabolic process","GO:0004806, GO:0006629","KOG4569","Predicted lipase","Lipid transport and metabolism",NA,NA,603,"RDEBS29620","RDEBS29620","Lipase (EC 3.1.1.3)","jgi.p|Debsub1|173079"
"2131",173112,1752,NA,NA,NA,"9710","oxidoreductase activity","GO:0016491","KOG2741","Dimeric dihydrodiol dehydrogenase","Carbohydrate transport and metabolism , Secondary metabolites biosynthesis, transport and catabolism",NA,NA,5540,"RDEBS01597","RDEBS01597",NA,"jgi.p|Debsub1|173112"
"2132",173121,1753,NA,NA,NA,NA,NA,NA,"KOG4679","Uncharacterized protein PSP1 (suppressor of DNA polymerase alpha mutations in yeast)","General function prediction only",NA,NA,1822,"RDEBS22682","RDEBS22682","DNA polymerase alpha mutation suppressor PSP1","jgi.p|Debsub1|173121"
"2133",173133,1754,"3.6.1.3","Adenosinetriphosphatase.","Purine metabolism","162, 10269, 3736, 2450, 2451, 5716, 5778, 5860, 8800, 10082, 10273, 18132, 18133, 18134, 18135","nucleotide binding, nucleoside-triphosphatase activity, ATP binding, ATP-dependent DNA helicase activity, ATP-dependent RNA helicase activity, ATP-dependent helicase activity, DNA-dependent ATPase activity, RNA-dependent ATPase activity, protein-transmembrane transporting ATPase activity, ATPase activity, single-stranded DNA-dependent ATP-dependent DNA helicase activity, ATPase activity, coupled, ATPase activity, uncoupled, ATPase activity, coupled to transmembrane movement of ions, ATPase activity, coupled to transmembrane movement of substances","GO:0000166, GO:0017111, GO:0005524, GO:0004003, GO:0004004, GO:0008026, GO:0008094, GO:0008186, GO:0015462, GO:0016887, GO:0017116, GO:0042623, GO:0042624, GO:0042625, GO:0042626","KOG0740","AAA+-type ATPase","Posttranslational modification, protein turnover, chaperones",NA,NA,4683,"RDEBS06819","RDEBS06819","AAA family ATPase","jgi.p|Debsub1|173133"
"2134",173161,1755,"4.2.1.24","Porphobilinogen synthase.","Porphyrin and chlorophyll metabolism","3028, 15848, 21295","porphobilinogen synthase activity, tetrapyrrole biosynthetic process, metal ion binding","GO:0004655, GO:0033014, GO:0046872","KOG2794","Delta-aminolevulinic acid dehydratase","Coenzyme transport and metabolism",NA,NA,634,"RDEBS29509","RDEBS29509","Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)","jgi.p|Debsub1|173161"
"2135",173184,1756,"3.2.1.21","Beta-glucosidase.","Starch and sucrose metabolism","2933, 4143, 6082","hydrolase activity, hydrolyzing O-glycosyl compounds, carbohydrate metabolic process, beta-glucosidase activity","GO:0004553, GO:0005975, GO:0008422",NA,NA,NA,NA,NA,4627,"RDEBS06544","RDEBS06544","Beta-glucosidase (EC 3.2.1.21)","jgi.p|Debsub1|173184"
"2136",173205,1757,"1.1.1.216","Farnesol dehydrogenase.","\N","2290, 19375, 23921, 22293","catalytic activity, cellular metabolic process, coenzyme binding, farnesol dehydrogenase activity","GO:0003824, GO:0044237, GO:0050662, GO:0047886","KOG1502","Flavonol reductase/cinnamoyl-CoA reductase","Defense mechanisms",NA,NA,417,"RDEBS31521","RDEBS31521","Nucleoside-diphosphate-sugar epimerases","jgi.p|Debsub1|173205"
"2137",173227,1758,NA,NA,NA,NA,NA,NA,"KOG3801","Uncharacterized conserved protein BCN92","RNA processing and modification",NA,NA,4579,"RDEBS06989","RDEBS06989","Hypothetical protein","jgi.p|Debsub1|173227"
"2138",173235,1759,NA,NA,NA,"9321","integral to membrane","GO:0016021",NA,NA,NA,NA,NA,3399,"RDEBS13789","RDEBS13789","Sulfite sensitivity protein SSU1","jgi.p|Debsub1|173235"
"2139",173285,1760,NA,NA,NA,"9710, 25163","oxidoreductase activity, peroxiredoxin activity","GO:0016491, GO:0051920","KOG0541","Alkyl hydroperoxide reductase/peroxiredoxin","Posttranslational modification, protein turnover, chaperones",NA,NA,1067,"RDEBS27026","RDEBS27026","Peroxiredoxin (EC 1.11.1.15)","jgi.p|Debsub1|173285"
"2140",173307,1761,NA,NA,NA,"3043, 3736, 4602, 3045, 3073","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, MAP kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004707","KOG0660","Mitogen-activated protein kinase","Signal transduction mechanisms",NA,NA,4499,"RDEBS07885","RDEBS07885","Mitogen-activated protein kinase FUS3 (EC 2.7.11.1)","jgi.p|Debsub1|173307"
"2141",173324,1762,NA,NA,NA,"4758, 5830","lipid metabolic process, metabolic process","GO:0006629, GO:0008152","KOG2214","Predicted esterase of the alpha-beta hydrolase superfamily","General function prediction only",NA,NA,3899,"RDEBS10867","RDEBS10867","Hypothetical protein","jgi.p|Debsub1|173324"
"2142",173364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4412,"RDEBS08390","RDEBS08390",NA,"jgi.p|Debsub1|173364"
"2143",173370,1763,NA,NA,NA,NA,NA,NA,"KOG3272","Predicted coiled-coil protein","General function prediction only",NA,NA,5070,"RDEBS04270","RDEBS04270","Hypothetical protein","jgi.p|Debsub1|173370"
"2144",173387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270,"RDEBS25701","RDEBS25701","SLX4 structure-specific endonuclease subunit","jgi.p|Debsub1|173387"
"2145",173393,1764,NA,NA,NA,"3642, 6276, 9320, 3546, 4927, 9321","sugar:hydrogen symporter activity, carbohydrate transport, membrane, transporter activity, transport, integral to membrane","GO:0005351, GO:0008643, GO:0016020, GO:0005215, GO:0006810, GO:0016021","KOG0254","Predicted transporter (major facilitator superfamily)","General function prediction only",NA,NA,5339,"RDEBS03081","RDEBS03081","High-affinity glucose transporter","jgi.p|Debsub1|173393"
"2146",173424,1765,NA,NA,NA,NA,NA,NA,"KOG4197","FOG: PPR repeat","General function prediction only",NA,NA,1615,"RDEBS23518","RDEBS23518","COX1 translational activator Pet309","jgi.p|Debsub1|173424"
"2147",173435,1766,"6.3.2.19","Ubiquitin--protein ligase.","\N","12037, 19152, 24495, 3200, 24685, 24687, 24690, 24691","small conjugating protein ligase activity, post-translational protein modification, regulation of protein metabolic process, ubiquitin-protein ligase activity, regulation of ubiquitin-protein ligase activity, regulation of ubiquitin-protein ligase activity during meiotic cell cycle, positive regulation of ubiquitin-protein ligase activity, negative regulation of ubiquitin-protein ligase activity","GO:0019787, GO:0043687, GO:0051246, GO:0004842, GO:0051438, GO:0051440, GO:0051443, GO:0051444","KOG0417","Ubiquitin-protein ligase","Posttranslational modification, protein turnover, chaperones",NA,NA,2126,"RDEBS20540","RDEBS20540","Ubiquitin-conjugating enzyme E2 (EC 6.3.2.19)","jgi.p|Debsub1|173435"
"2148",173465,1767,NA,NA,NA,NA,NA,NA,"KOG1831","Negative regulator of transcription","Transcription",NA,NA,5159,"RDEBS04086","RDEBS04086","General negative regulator of transcription subunit 1","jgi.p|Debsub1|173465"
"2149",173509,1768,NA,NA,NA,"5830, 9940","metabolic process, transferase activity","GO:0008152, GO:0016740","KOG1602","Cis-prenyltransferase","Lipid transport and metabolism",NA,NA,3744,"RDEBS11723","RDEBS11723",NA,"jgi.p|Debsub1|173509"
"2150",173551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1477,"RDEBS25026","RDEBS25026",NA,"jgi.p|Debsub1|173551"
"2151",173554,1769,"2.7.1.137","1-phosphatidylinositol 3-kinase.","Inositol phosphate metabolism","9971, 2825, 4113, 9574, 21277, 22419, 3708, 8439, 8440","phosphotransferase activity, alcohol group as acceptor, inositol or phosphatidylinositol kinase activity, phosphoinositide 3-kinase complex, 1-phosphatidylinositol-3-kinase activity, phosphoinositide phosphorylation, phosphoinositide-mediated signaling, binding, phosphatidylinositol 3-kinase, class I, catalyst activity, phosphatidylinositol 3-kinase, class I, regulator activity","GO:0016773, GO:0004428, GO:0005942, GO:0016303, GO:0046854, GO:0048015, GO:0005488, GO:0015072, GO:0015073","KOG0906","Phosphatidylinositol 3-kinase VPS34, involved in signal transduction","Signal transduction mechanisms , Intracellular trafficking, secretion, and vesicular transport",NA,NA,4781,"RDEBS05848","RDEBS05848","Phosphatidylinositol 3-kinase vps34 (EC 2.7.1.137)","jgi.p|Debsub1|173554"
"2152",173581,1770,NA,NA,NA,NA,NA,NA,"KOG4363","Putative growth response protein","Signal transduction mechanisms",NA,NA,1447,"RDEBS24804","RDEBS24804",NA,"jgi.p|Debsub1|173581"
"2153",173583,1771,NA,NA,NA,"3721, 4283, 9321, 9710, 23919, 287","iron ion binding, electron transport, integral to membrane, oxidoreductase activity, FAD binding, ferric-chelate reductase activity","GO:0005506, GO:0006118, GO:0016021, GO:0016491, GO:0050660, GO:0000293","KOG0039","Ferric reductase, NADH/NADPH oxidase and related proteins","Inorganic ion transport and metabolism , Secondary metabolites biosynthesis, transport and catabolism",NA,NA,1249,"RDEBS26313","RDEBS26313","Ferric-chelate reductase (EC 1.16.1.7)","jgi.p|Debsub1|173583"
"2154",173599,1772,"6.1.1.11","Serine--tRNA ligase.","Aminoacyl-tRNA biosynthesis","162, 3172, 3736, 3930, 4556, 4561, 3188, 4577","nucleotide binding, aminoacyl-tRNA ligase activity, ATP binding, cytoplasm, translation, tRNA aminoacylation for protein translation, serine-tRNA ligase activity, seryl-tRNA aminoacylation","GO:0000166, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0004828, GO:0006434","KOG2509","Seryl-tRNA synthetase","Translation, ribosomal structure and biogenesis",NA,NA,2364,"RDEBS19426","RDEBS19426","Seryl-tRNA synthetase, mitochondrial (EC 6.1.1.11)","jgi.p|Debsub1|173599"
"2155",173637,1773,NA,NA,NA,"3425, 3827, 17205","Rho guanyl-nucleotide exchange factor activity, intracellular, regulation of Rho protein signal transduction","GO:0005089, GO:0005622, GO:0035023",NA,NA,NA,NA,NA,4217,"RDEBS09512","RDEBS09512","Bud site selection protein BUD3","jgi.p|Debsub1|173637"
"2156",173686,1774,NA,NA,NA,"3827, 4541","intracellular, RNA processing","GO:0005622, GO:0006396","KOG2396","HAT (Half-A-TPR) repeat-containing protein","General function prediction only",NA,NA,5170,"RDEBS04027","RDEBS04027","Hypothetical protein","jgi.p|Debsub1|173686"
"2157",173715,1775,NA,NA,NA,"4977, 8535, 9320, 4927","amino acid transport, amino acid transmembrane transporter activity, membrane, transport","GO:0006865, GO:0015171, GO:0016020, GO:0006810","KOG1286","Amino acid transporters","Amino acid transport and metabolism",NA,NA,2970,"RDEBS15942","RDEBS15942","Asparagine/glutamine permease","jgi.p|Debsub1|173715"
"2158",173719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4878,"RDEBS05178","RDEBS05178","Bud determination protein RAX1","jgi.p|Debsub1|173719"
"2159",173760,1776,NA,NA,NA,"4127, 6244","protein kinase CK2 complex, protein kinase CK2 regulator activity","GO:0005956, GO:0008605","KOG3092","Casein kinase II, beta subunit","Cell cycle control, cell division, chromosome partitioning , Transcription , Signal transduction mechanisms",NA,NA,3262,"RDEBS14452","RDEBS14452","Casein kinase II, beta chain (CK II) (EC 2.7.11.1)","jgi.p|Debsub1|173760"
"2160",173765,1777,NA,NA,NA,NA,NA,NA,"KOG1690","emp24/gp25L/p24 family of membrane trafficking proteins","Intracellular trafficking, secretion, and vesicular transport",NA,NA,5132,"RDEBS03594","RDEBS03594","Golgi function and secretion, emp24/gp25L/p24 family/GOLD family protein","jgi.p|Debsub1|173765"
"2161",173776,1778,NA,NA,NA,"9321","integral to membrane","GO:0016021","KOG3071","Fatty acyl-CoA elongase/Polyunsaturated fatty acid specific elongation enzyme","Lipid transport and metabolism",NA,NA,2582,"RDEBS18760","RDEBS18760","Long chain polyunsaturated fatty acid elongation enzyme (EC 2.3.1.-)","jgi.p|Debsub1|173776"
"2162",173786,1779,NA,NA,NA,"2196, 3838, 4504, 5939","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding","GO:0003700, GO:0005634, GO:0006355, GO:0008270",NA,NA,NA,NA,NA,1622,"RDEBS23472","RDEBS23472","Transcriptional activator protein acu-15","jgi.p|Debsub1|173786"
"2163",173796,1780,NA,NA,NA,NA,NA,NA,"KOG3017","Defense-related protein containing SCP domain","Function unknown",NA,NA,5095,"RDEBS03869","RDEBS03869","SCP domain protein family","jgi.p|Debsub1|173796"
"2164",173804,1781,"3.1.4.-","Phosphoric diester hydrolases.","Aminosugars metabolism","3838, 4440, 5766, 2551, 2554, 2555, 2556, 2557, 2558, 2829, 4135","nucleus, DNA repair, phosphoric diester hydrolase activity, cyclic-nucleotide phosphodiesterase activity, 3',5'-cyclic-AMP phosphodiesterase activity, calmodulin-dependent cyclic-nucleotide phosphodiesterase activity, cGMP-stimulated cyclic-nucleotide phosphodiesterase activity, cGMP-inhibited cyclic-nucleotide phosphodiesterase activity, photoreceptor cyclic-nucleotide phosphodiesterase activity, inositol or phosphatidylinositol phosphodiesterase activity, cyclic-nucleotide phosphodiesterase complex","GO:0005634, GO:0006281, GO:0008081, GO:0004112, GO:0004115, GO:0004117, GO:0004118, GO:0004119, GO:0004120, GO:0004434, GO:0005966","KOG2031","Tyrosyl-DNA phosphodiesterase","Replication, recombination and repair",NA,NA,1556,"RDEBS24166","RDEBS24166","Tyrosyl-DNA phosphodiesterase (EC 3.1.14.-)","jgi.p|Debsub1|173804"
"2165",173817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3310,"RDEBS14265","RDEBS14265","STB2 protein","jgi.p|Debsub1|173817"
"2166",173831,1782,NA,NA,NA,"3708","binding","GO:0005488","KOG2038","CAATT-binding transcription factor/60S ribosomal subunit biogenesis protein","Translation, ribosomal structure and biogenesis , Transcription",NA,NA,4947,"RDEBS04904","RDEBS04904","Ribosome biogenesis protein MAK21","jgi.p|Debsub1|173831"
"2167",173836,1783,NA,NA,NA,"3736, 9297, 9321, 9691, 18135, 21380","ATP binding, ATP hydrolysis coupled proton transport, integral to membrane, proton-transporting two-sector ATPase complex, ATPase activity, coupled to transmembrane movement of substances, hydrogen ion transporting ATPase activity, rotational mechanism","GO:0005524, GO:0015991, GO:0016021, GO:0016469, GO:0042626, GO:0046961",NA,NA,NA,NA,NA,4313,"RDEBS08965","RDEBS08965",NA,"jgi.p|Debsub1|173836"
"2168",173838,1784,"5.5.1.4","Myo-inositol-1-phosphate synthase.","Inositol phosphate metabolism","2903, 4189, 6286","inositol-3-phosphate synthase activity, inositol biosynthetic process, phospholipid biosynthetic process","GO:0004512, GO:0006021, GO:0008654","KOG0693","Myo-inositol-1-phosphate synthase","Lipid transport and metabolism",NA,NA,2629,"RDEBS17914","RDEBS17914","Myo-inositol-1-phosphate synthase (EC 5.5.1.4)","jgi.p|Debsub1|173838"
"2169",173843,1785,NA,NA,NA,NA,NA,NA,"KOG0255","Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)","General function prediction only",NA,NA,1323,"RDEBS25479","RDEBS25479","Transporter, MFS superfamily","jgi.p|Debsub1|173843"
"2170",173849,1786,"6.2.1.3","Long-chain-fatty-acid--CoA ligase.","Fatty acid metabolism","2290, 5830, 2861, 8961, 14792, 14793, 14794","catalytic activity, metabolic process, long-chain-fatty-acid-CoA ligase activity, fatty-acid ligase activity, short-chain-fatty-acid-CoA ligase activity, medium-chain-fatty-acid-CoA ligase activity, very-long-chain-fatty-acid-CoA ligase activity","GO:0003824, GO:0008152, GO:0004467, GO:0015645, GO:0031955, GO:0031956, GO:0031957","KOG1180","Acyl-CoA synthetase","Lipid transport and metabolism",NA,NA,2720,"RDEBS17994","RDEBS17994","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","jgi.p|Debsub1|173849"
"2171",173854,1787,NA,NA,NA,"3727","protein binding","GO:0005515","KOG0797","Actin-related protein","Cytoskeleton",NA,NA,4007,"RDEBS10728","RDEBS10728","Actin-like protein","jgi.p|Debsub1|173854"
"2172",173861,1788,NA,NA,NA,"6715, 2290, 4598, 16645","lipoate biosynthetic process, catalytic activity, protein modification process, lipoyl(octanoyl) transferase activity","GO:0009107, GO:0003824, GO:0006464, GO:0033819","KOG0325","Lipoyltransferase","Energy production and conversion , Coenzyme transport and metabolism",NA,NA,5685,"RDEBS01141","RDEBS01141","Lipoate-protein ligase B (EC 2.3.1.-)","jgi.p|Debsub1|173861"
"2173",173862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1369,"RDEBS25269","RDEBS25269","G protein coupled receptor","jgi.p|Debsub1|173862"
"2174",173913,1789,NA,NA,NA,"4929, 5991, 9321","cation transport, cation transmembrane transporter activity, integral to membrane","GO:0006812, GO:0008324, GO:0016021","KOG1397","Ca2+/H+ antiporter VCX1 and related proteins","Inorganic ion transport and metabolism",NA,NA,5229,"RDEBS04178","RDEBS04178","Vacuolar calcium/proton antiporter","jgi.p|Debsub1|173913"
"2175",173929,1790,NA,NA,NA,"3708","binding","GO:0005488","KOG1851","Uncharacterized conserved protein","Function unknown",NA,NA,1962,"RDEBS22291","RDEBS22291","Proteasomal core particles assembly activator","jgi.p|Debsub1|173929"
"2176",173932,1791,"3.1.-.-","Acting on ester bonds.","\N","3930, 9986, 11742, 2909, 18089, 19229","cytoplasm, hydrolase activity, acting on ester bonds, D-amino acid catabolic process, nuclease activity, phosphoric ester hydrolase activity, T/G mismatch-specific endonuclease activity","GO:0005737, GO:0016788, GO:0019478, GO:0004518, GO:0042578, GO:0043765","KOG3323","D-Tyr-tRNA (Tyr) deacylase","Translation, ribosomal structure and biogenesis",NA,NA,1422,"RDEBS24942","RDEBS24942","D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-)","jgi.p|Debsub1|173932"
"2177",173942,1792,NA,NA,NA,"3708","binding","GO:0005488","KOG1020","Sister chromatid cohesion protein SCC2/Nipped-B","Chromatin structure and dynamics , Cell cycle control, cell division, chromosome partitioning , Replication, recombination and repair",NA,NA,5738,"RDEBS00792","RDEBS00792","Sister chromatid cohesion protein mis4","jgi.p|Debsub1|173942"
"2178",174023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4957,"RDEBS05298","RDEBS05298","Hypothetical protein","jgi.p|Debsub1|174023"
"2179",174027,1793,"2.7.8.5","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase.","Glycerolipid metabolism","2290, 5830, 6103","catalytic activity, metabolic process, CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity","GO:0003824, GO:0008152, GO:0008444","KOG3964","Phosphatidylglycerolphosphate synthase","Lipid transport and metabolism",NA,NA,4153,"RDEBS09351","RDEBS09351","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)","jgi.p|Debsub1|174027"
"2180",174036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4221,"RDEBS09490","RDEBS09490","Hypothetical protein","jgi.p|Debsub1|174036"
"2181",174114,1794,NA,NA,NA,"9493, 9710, 25163","antioxidant activity, oxidoreductase activity, peroxiredoxin activity","GO:0016209, GO:0016491, GO:0051920","KOG0852","Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes","Posttranslational modification, protein turnover, chaperones",NA,NA,3894,"RDEBS10895","RDEBS10895","Thioredoxin peroxidase (EC 1.11.1.15)","jgi.p|Debsub1|174114"
"2182",174125,1795,"6.5.1.1","DNA ligase (ATP).","\N","2365, 3736, 4421, 4440, 4468, 3827, 2176","DNA ligase (ATP) activity, ATP binding, DNA replication, DNA repair, DNA recombination, intracellular, DNA binding","GO:0003910, GO:0005524, GO:0006260, GO:0006281, GO:0006310, GO:0005622, GO:0003677","KOG0966","ATP-dependent DNA ligase IV","Replication, recombination and repair",NA,NA,2177,"RDEBS20396","RDEBS20396","ATP-dependent DNA ligase (EC 6.5.1.1)","jgi.p|Debsub1|174125"
"2183",174149,1796,NA,NA,NA,NA,NA,NA,"KOG4109","Histone H3 (Lys4) methyltransferase complex, subunit CPS25/DPY-30","Transcription",NA,NA,2408,"RDEBS19711","RDEBS19711","Histone-lysine N-methyltransferase (H3-K4 specific) subunit SDC1 (EC 2.1.1.-)","jgi.p|Debsub1|174149"
"2184",174152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1338,"RDEBS25405","RDEBS25405",NA,"jgi.p|Debsub1|174152"
"2185",174163,1797,"2.7.4.3","Adenylate kinase.","Purine metabolism","2461","adenylate kinase activity","GO:0004017","KOG3347","Predicted nucleotide kinase/nuclear protein involved oxidative stress response","Nucleotide transport and metabolism",NA,NA,3008,"RDEBS15895","RDEBS15895",NA,"jgi.p|Debsub1|174163"
"2186",174174,1798,"3.1.22.-","Endodeoxyribonucleases producing other than 5'-phosphomonoesters.","\N","2176, 2909, 3727, 3838, 4420, 2290, 6440","DNA binding, nuclease activity, protein binding, nucleus, DNA metabolic process, catalytic activity, crossover junction endodeoxyribonuclease activity","GO:0003677, GO:0004518, GO:0005515, GO:0005634, GO:0006259, GO:0003824, GO:0008821","KOG2379","Endonuclease MUS81","Replication, recombination and repair",NA,NA,2438,"RDEBS19080","RDEBS19080","ERCC4-type nucleases","jgi.p|Debsub1|174174"
"2187",174194,1799,NA,NA,NA,NA,NA,NA,"KOG0758","Mitochondrial carnitine-acylcarnitine carrier protein","Energy production and conversion",NA,NA,4825,"RDEBS05464","RDEBS05464","Mitochondrial ornithine carrier protein","jgi.p|Debsub1|174194"
"2188",174197,1800,NA,NA,NA,NA,NA,NA,"KOG1786","Lysosomal trafficking regulator LYST and related BEACH and WD40 repeat proteins","Signal transduction mechanisms , Intracellular trafficking, secretion, and vesicular transport",NA,NA,5501,"RDEBS01794","RDEBS01794","Beige/BEACH protein homolog","jgi.p|Debsub1|174197"
"2189",174221,1801,NA,NA,NA,"3433, 3827, 15148","Rab GTPase activator activity, intracellular, regulation of Rab GTPase activity","GO:0005097, GO:0005622, GO:0032313","KOG2058","Ypt/Rab GTPase activating protein","Intracellular trafficking, secretion, and vesicular transport",NA,NA,2109,"RDEBS20638","RDEBS20638","Mitotic check point protein BUB2","jgi.p|Debsub1|174221"
"2190",174228,1802,NA,NA,NA,"4598, 4643, 8400","protein modification process, ubiquitin cycle, protein transport","GO:0006464, GO:0006512, GO:0015031","KOG2391","Vacuolar sorting protein/ubiquitin receptor VPS23","Posttranslational modification, protein turnover, chaperones , Intracellular trafficking, secretion, and vesicular transport",NA,NA,4316,"RDEBS08953","RDEBS08953","Hypothetical protein","jgi.p|Debsub1|174228"
"2191",174238,1803,NA,NA,NA,"2175","nucleic acid binding","GO:0003676","KOG0533","RRM motif-containing protein","RNA processing and modification",NA,NA,4962,"RDEBS05269","RDEBS05269","RNA annealing protein YRA1","jgi.p|Debsub1|174238"
"2192",174246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495,"RDEBS24444","RDEBS24444",NA,"jgi.p|Debsub1|174246"
"2193",174275,1804,"6.1.1.2","Tryptophan--tRNA ligase.","Tryptophan metabolism","162, 3172, 3736, 3930, 4556, 4561, 3190, 4579","nucleotide binding, aminoacyl-tRNA ligase activity, ATP binding, cytoplasm, translation, tRNA aminoacylation for protein translation, tryptophan-tRNA ligase activity, tryptophanyl-tRNA aminoacylation","GO:0000166, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0004830, GO:0006436","KOG2145","Cytoplasmic tryptophanyl-tRNA synthetase","Translation, ribosomal structure and biogenesis",NA,NA,3639,"RDEBS12248","RDEBS12248","Tryptophanyl-tRNA synthetase (EC 6.1.1.2)","jgi.p|Debsub1|174275"
"2194",174293,1805,NA,NA,NA,"2227, 3827, 4025, 4556","structural constituent of ribosome, intracellular, ribosome, translation","GO:0003735, GO:0005622, GO:0005840, GO:0006412","KOG3418","60S ribosomal protein L27","Translation, ribosomal structure and biogenesis",NA,NA,3643,"RDEBS12227","RDEBS12227","LSU ribosomal protein L27E","jgi.p|Debsub1|174293"
"2195",174376,1806,NA,NA,NA,"2175, 3827, 5939","nucleic acid binding, intracellular, zinc ion binding","GO:0003676, GO:0005622, GO:0008270","KOG1721","FOG: Zn-finger","General function prediction only",NA,NA,4867,"RDEBS05235","RDEBS05235",NA,"jgi.p|Debsub1|174376"
